Country Name,Region Name,Main Grouping,Indicator - Topic,Indicator - Topic description,Indicator Name,Indicator - Unit,Scale,Indicator - Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Algeria,North Africa,Energy,Access,Energy access,Usage of charcoal/wood for cooking-Quintile 1 (% of population),% of population,,AIKP Database,,,,,,,,,,,,,,,,,,,,,,NULL,0.1352,NULL,NULL,NULL,NULL,,
Algeria,North Africa,Energy,Access,Energy access,Usage of charcoal/wood for cooking-Quintile 2 (% of population),% of population,,AIKP Database,,,,,,,,,,,,,,,,,,,,,,NULL,0.0584,NULL,NULL,NULL,NULL,,
Algeria,North Africa,Energy,Access,Energy access,Usage of charcoal/wood for cooking-Quintile 3 (% of population),% of population,,AIKP Database,,,,,,,,,,,,,,,,,,,,,,NULL,0.0509,NULL,NULL,NULL,NULL,,
Algeria,North Africa,Energy,Access,Energy access,Usage of charcoal/wood for cooking-Quintile 4 (% of population),% of population,,AIKP Database,,,,,,,,,,,,,,,,,,,,,,NULL,0.1268,NULL,NULL,NULL,NULL,,
Algeria,North Africa,Energy,Access,Energy access,Usage of charcoal/wood for cooking-Quintile 5 (% of population),% of population,,AIKP Database,,,,,,,,,,,,,,,,,,,,,,NULL,1.5103,NULL,NULL,NULL,NULL,,
Algeria,North Africa,Energy,Access,Energy access,Usage of charcoal/wood for cooking-Rural (% of population),% of population,,AIKP Database,,,,,,,,,,,,,,,,,,,,,,NULL,0.7449,NULL,NULL,NULL,NULL,,
Algeria,North Africa,Energy,Access,Energy access,Usage of charcoal/wood for cooking-Urban (% of population),% of population,,AIKP Database,,,,,,,,,,,,,,,,,,,,,,NULL,0.1344,NULL,NULL,NULL,NULL,,
Algeria,North Africa,Electricity,Usage,Electricity usage,Usage of electricity for cooking-National (% of population),% of population,,AIKP Database,,,,,,,,,,,,,,,,,,,,,,NULL,NULL,1.1868,NULL,NULL,NULL,,
Algeria,North Africa,Electricity,Usage,Electricity usage,Usage of electricity for cooking-Quintile 1 (% of population),% of population,,AIKP Database,,,,,,,,,,,,,,,,,,,,,,NULL,NULL,1.349,NULL,NULL,NULL,,
Algeria,North Africa,Electricity,Usage,Electricity usage,Usage of electricity for cooking-Quintile 2 (% of population),% of population,,AIKP Database,,,,,,,,,,,,,,,,,,,,,,NULL,NULL,1.329,NULL,NULL,NULL,,
Algeria,North Africa,Electricity,Usage,Electricity usage,Usage of electricity for cooking-Quintile 3 (% of population),% of population,,AIKP Database,,,,,,,,,,,,,,,,,,,,,,NULL,NULL,1.2667,NULL,NULL,NULL,,
Algeria,North Africa,Electricity,Usage,Electricity usage,Usage of electricity for cooking-Quintile 4 (% of population),% of population,,AIKP Database,,,,,,,,,,,,,,,,,,,,,,NULL,NULL,0.9866,NULL,NULL,NULL,,
Algeria,North Africa,Electricity,Usage,Electricity usage,Usage of electricity for cooking-Quintile 5 (% of population),% of population,,AIKP Database,,,,,,,,,,,,,,,,,,,,,,NULL,NULL,1.0695,NULL,NULL,NULL,,
Algeria,North Africa,Electricity,Usage,Electricity usage,Usage of electricity for cooking-Rural (% of population),% of population,,AIKP Database,,,,,,,,,,,,,,,,,,,,,,NULL,NULL,1.0806,NULL,NULL,NULL,,
Algeria,North Africa,Electricity,Usage,Electricity usage,Usage of electricity for cooking-Urban (% of population),% of population,,AIKP Database,,,,,,,,,,,,,,,,,,,,,,NULL,NULL,1.2477,NULL,NULL,NULL,,
Algeria,North Africa,Energy,Access,Energy access,Usage of kerosene/gasoline/gasoil/paraffin for cooking-National (% of population),% of population,,AIKP Database,,,,,,,,,,,,,,,,,,,,,,NULL,0,NULL,NULL,NULL,NULL,,
Algeria,North Africa,Energy,Access,Energy access,Usage of kerosene/gasoline/gasoil/paraffin for cooking-Quintile 1 (% of population),% of population,,AIKP Database,,,,,,,,,,,,,,,,,,,,,,NULL,0,NULL,NULL,NULL,NULL,,
Algeria,North Africa,Energy,Access,Energy access,Usage of kerosene/gasoline/gasoil/paraffin for cooking-Quintile 2 (% of population),% of population,,AIKP Database,,,,,,,,,,,,,,,,,,,,,,NULL,0,NULL,NULL,NULL,NULL,,
Algeria,North Africa,Energy,Access,Energy access,Usage of kerosene/gasoline/gasoil/paraffin for cooking-Quintile 3 (% of population),% of population,,AIKP Database,,,,,,,,,,,,,,,,,,,,,,NULL,0,NULL,NULL,NULL,NULL,,
Algeria,North Africa,Energy,Access,Energy access,Usage of kerosene/gasoline/gasoil/paraffin for cooking-Quintile 4 (% of population),% of population,,AIKP Database,,,,,,,,,,,,,,,,,,,,,,NULL,0,NULL,NULL,NULL,NULL,,
Algeria,North Africa,Energy,Access,Energy access,Usage of kerosene/gasoline/gasoil/paraffin for cooking-Quintile 5 (% of population),% of population,,AIKP Database,,,,,,,,,,,,,,,,,,,,,,NULL,0,NULL,NULL,NULL,NULL,,
Algeria,North Africa,Energy,Access,Energy access,Usage of kerosene/gasoline/gasoil/paraffin for cooking-Rural (% of population),% of population,,AIKP Database,,,,,,,,,,,,,,,,,,,,,,NULL,0,NULL,NULL,NULL,NULL,,
Algeria,North Africa,Energy,Access,Energy access,Usage of kerosene/gasoline/gasoil/paraffin for cooking-Urban (% of population),% of population,,AIKP Database,,,,,,,,,,,,,,,,,,,,,,NULL,0,NULL,NULL,NULL,NULL,,
Algeria,North Africa,Energy,Access,Energy access,Usage of LPG for cooking-National (% of population),% of population,,AIKP Database,,,,,,,,,,,,,,,,,,,,,,NULL,52.4783,NULL,NULL,NULL,NULL,,
Algeria,North Africa,Energy,Access,Energy access,Usage of LPG for cooking-Quintile 1 (% of population),% of population,,AIKP Database,,,,,,,,,,,,,,,,,,,,,,NULL,73.0787,NULL,NULL,NULL,NULL,,
Algeria,North Africa,Energy,Access,Energy access,Usage of LPG for cooking-Quintile 2 (% of population),% of population,,AIKP Database,,,,,,,,,,,,,,,,,,,,,,NULL,80.7913,NULL,NULL,NULL,NULL,,
Algeria,North Africa,Energy,Access,Energy access,Usage of LPG for cooking-Quintile 3 (% of population),% of population,,AIKP Database,,,,,,,,,,,,,,,,,,,,,,NULL,63.1665,NULL,NULL,NULL,NULL,,
Algeria,North Africa,Energy,Access,Energy access,Usage of LPG for cooking-Quintile 4 (% of population),% of population,,AIKP Database,,,,,,,,,,,,,,,,,,,,,,NULL,41.8165,NULL,NULL,NULL,NULL,,
Algeria,North Africa,Energy,Access,Energy access,Usage of LPG for cooking-Quintile 5 (% of population),% of population,,AIKP Database,,,,,,,,,,,,,,,,,,,,,,NULL,15.6215,NULL,NULL,NULL,NULL,,
Algeria,North Africa,Energy,Access,Energy access,Usage of LPG for cooking-Rural (% of population),% of population,,AIKP Database,,,,,,,,,,,,,,,,,,,,,,NULL,21.2217,NULL,NULL,NULL,NULL,,
Algeria,North Africa,Energy,Access,Energy access,Usage of LPG for cooking-Urban (% of population),% of population,,AIKP Database,,,,,,,,,,,,,,,,,,,,,,NULL,70.4173,NULL,NULL,NULL,NULL,,
